lane,event,start_us,end_us,detail
"tile 0,3 core",ACTIVE,6232.082448,6232.132455,cycles 131161898..131161947 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6232.131455,6232.132455,cycles 131161947..131161947 (1 cyc)
"tile 0,3 core",ACTIVE,6232.131455,6232.142456,cycles 131161947..131161957 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6232.141456,6232.142456,cycles 131161957..131161957 (1 cyc)
"tile 0,3 core",ACTIVE,6232.141456,6232.192463,cycles 131161957..131162007 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6232.191463,6233.152591,cycles 131162007..131162967 (961 cyc)
"tile 0,3 core",ACTIVE,6233.151591,6233.162592,cycles 131162967..131162977 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6233.161592,6233.162592,cycles 131162977..131162977 (1 cyc)
"tile 0,3 core",ACTIVE,6233.161592,6233.211598,cycles 131162977..131163026 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6233.210598,6233.211598,cycles 131163026..131163026 (1 cyc)
"tile 0,3 core",ACTIVE,6233.210598,6233.221600,cycles 131163026..131163036 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6233.220600,6233.221600,cycles 131163036..131163036 (1 cyc)
"tile 0,3 core",ACTIVE,6233.220600,6233.271606,cycles 131163036..131163086 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6233.270606,6233.443629,cycles 131163086..131163258 (173 cyc)
"tile 0,3 core",ACTIVE,6233.442629,6233.453631,cycles 131163258..131163268 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6233.452631,6233.453631,cycles 131163268..131163268 (1 cyc)
"tile 0,3 core",ACTIVE,6233.452631,6233.502637,cycles 131163268..131163317 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6233.501637,6233.502637,cycles 131163317..131163317 (1 cyc)
"tile 0,3 core",ACTIVE,6233.501637,6233.512639,cycles 131163317..131163327 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6233.511638,6233.512639,cycles 131163327..131163327 (1 cyc)
"tile 0,3 core",ACTIVE,6233.511638,6233.523640,cycles 131163327..131163338 (12 cyc)
"tile 0,3 core",ACTIVE,6233.522640,6233.526640,cycles 131163338..131163341 (4 cyc)
"tile 0,3 core",ACTIVE,6233.525640,6233.526640,cycles 131163341..131163341 (1 cyc)
"tile 0,3 core",ACTIVE,6233.525640,6233.533641,cycles 131163341..131163348 (8 cyc)
"tile 0,3 core",ACTIVE,6233.532641,6233.533641,cycles 131163348..131163348 (1 cyc)
"tile 0,3 core",ACTIVE,6233.532641,6233.540642,cycles 131163348..131163355 (8 cyc)
"tile 0,3 core",ACTIVE,6233.539642,6233.557645,cycles 131163355..131163372 (18 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6233.556644,6233.557645,cycles 131163372..131163372 (1 cyc)
"tile 0,3 core",ACTIVE,6233.556644,6233.567646,cycles 131163372..131163382 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6233.566646,6233.567646,cycles 131163382..131163382 (1 cyc)
"tile 0,3 core",ACTIVE,6233.566646,6233.573647,cycles 131163382..131163388 (7 cyc)
"tile 0,3 core",ACTIVE,6233.572647,6233.585648,cycles 131163388..131163400 (13 cyc)
"tile 0,3 core",ACTIVE,6233.584648,6233.615652,cycles 131163400..131163430 (31 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6233.614652,6234.144723,cycles 131163430..131163959 (530 cyc)
"tile 0,3 core",ACTIVE,6234.143723,6234.154724,cycles 131163959..131163969 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6234.153724,6234.154724,cycles 131163969..131163969 (1 cyc)
