lane,event,start_us,end_us,detail
"tile 0,3 core",ACTIVE,5904.864795,5904.989793,cycles 130835959..130836083 (125 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,5904.988793,6163.001939,cycles 130836083..131094099 (258017 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.000939,6163.004939,cycles 131094099..131094102 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.003939,6163.009939,cycles 131094102..131094107 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.008939,6163.012939,cycles 131094107..131094110 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.011939,6163.017939,cycles 131094110..131094115 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.016939,6163.020939,cycles 131094115..131094118 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.019939,6163.025939,cycles 131094118..131094123 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.024939,6163.028939,cycles 131094123..131094126 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.027939,6163.033939,cycles 131094126..131094131 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.032939,6163.036939,cycles 131094131..131094134 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.035939,6163.041938,cycles 131094134..131094139 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.040938,6163.044938,cycles 131094139..131094142 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.043938,6163.049938,cycles 131094142..131094147 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.048938,6163.052938,cycles 131094147..131094150 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.051938,6163.057938,cycles 131094150..131094155 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.056938,6163.060938,cycles 131094155..131094158 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.059938,6163.065938,cycles 131094158..131094163 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.064938,6163.068938,cycles 131094163..131094166 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.067938,6163.073938,cycles 131094166..131094171 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.072938,6163.076938,cycles 131094171..131094174 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.075938,6163.082938,cycles 131094174..131094180 (7 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.081938,6163.085938,cycles 131094180..131094183 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.084938,6163.089938,cycles 131094183..131094187 (5 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.088938,6163.092938,cycles 131094187..131094190 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.091938,6163.097938,cycles 131094190..131094195 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.096938,6163.100938,cycles 131094195..131094198 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.099938,6163.105937,cycles 131094198..131094203 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.104938,6163.108937,cycles 131094203..131094206 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.107937,6163.113937,cycles 131094206..131094211 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.112937,6163.116937,cycles 131094211..131094214 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.115937,6163.121937,cycles 131094214..131094219 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.120937,6163.124937,cycles 131094219..131094222 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.123937,6163.129937,cycles 131094222..131094227 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.128937,6163.132937,cycles 131094227..131094230 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.131937,6163.137937,cycles 131094230..131094235 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.136937,6163.140937,cycles 131094235..131094238 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.139937,6163.145937,cycles 131094238..131094243 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.144937,6163.148937,cycles 131094243..131094246 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.147937,6163.153937,cycles 131094246..131094251 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.152937,6163.156937,cycles 131094251..131094254 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.155937,6163.161937,cycles 131094254..131094259 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.160937,6163.164937,cycles 131094259..131094262 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.163937,6163.169937,cycles 131094262..131094267 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.168937,6163.172936,cycles 131094267..131094270 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.171936,6163.178936,cycles 131094270..131094276 (7 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.177936,6163.181936,cycles 131094276..131094279 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.180936,6163.185936,cycles 131094279..131094283 (5 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.184936,6163.188936,cycles 131094283..131094286 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.187936,6163.193936,cycles 131094286..131094291 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.192936,6163.196936,cycles 131094291..131094294 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.195936,6163.201936,cycles 131094294..131094299 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.200936,6163.204936,cycles 131094299..131094302 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.203936,6163.209936,cycles 131094302..131094307 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.208936,6163.212936,cycles 131094307..131094310 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.211936,6163.217936,cycles 131094310..131094315 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.216936,6163.220936,cycles 131094315..131094318 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.219936,6163.225936,cycles 131094318..131094323 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.224936,6163.228936,cycles 131094323..131094326 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.227936,6163.233936,cycles 131094326..131094331 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.232936,6163.234936,cycles 131094331..131094332 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.233936,6163.234936,cycles 131094332..131094332 (1 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.233936,6163.235936,cycles 131094332..131094333 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.234936,6163.239935,cycles 131094333..131094337 (5 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.238935,6163.242935,cycles 131094337..131094340 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.241935,6163.247935,cycles 131094340..131094345 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.246935,6163.250935,cycles 131094345..131094348 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.249935,6163.255935,cycles 131094348..131094353 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.254935,6163.258935,cycles 131094353..131094356 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.257935,6163.263935,cycles 131094356..131094361 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.262935,6163.266935,cycles 131094361..131094364 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.265935,6163.272935,cycles 131094364..131094370 (7 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.271935,6163.275935,cycles 131094370..131094373 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.274935,6163.279935,cycles 131094373..131094377 (5 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.278935,6163.282935,cycles 131094377..131094380 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.281935,6163.287935,cycles 131094380..131094385 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.286935,6163.290935,cycles 131094385..131094388 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.289935,6163.295935,cycles 131094388..131094393 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.294935,6163.298935,cycles 131094393..131094396 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.297935,6163.303935,cycles 131094396..131094401 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.302935,6163.306934,cycles 131094401..131094404 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.305934,6163.311934,cycles 131094404..131094409 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.310934,6163.314934,cycles 131094409..131094412 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.313934,6163.319934,cycles 131094412..131094417 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.318934,6163.322934,cycles 131094417..131094420 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.321934,6163.327934,cycles 131094420..131094425 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.326934,6163.328934,cycles 131094425..131094426 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.327934,6163.328934,cycles 131094426..131094426 (1 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.327934,6163.329934,cycles 131094426..131094427 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.328934,6163.333934,cycles 131094427..131094431 (5 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.332934,6163.336934,cycles 131094431..131094434 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.335934,6163.341934,cycles 131094434..131094439 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.340934,6163.344934,cycles 131094439..131094442 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.343934,6163.349934,cycles 131094442..131094447 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.348934,6163.352934,cycles 131094447..131094450 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.351934,6163.357934,cycles 131094450..131094455 (6 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.356934,6163.358934,cycles 131094455..131094456 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6163.357934,6163.358934,cycles 131094456..131094456 (1 cyc)
